Epoch,Training Error,Testing Error
90,1263.026123,1208.76355
91,1260.4552,1207.077271
92,1257.923584,1205.430298
93,1255.430542,1203.820557
94,1252.974854,1202.246826
95,1250.555054,1200.707153
96,1248.17041,1199.200073
97,1245.81958,1197.723877
98,1243.501831,1196.2771
99,1241.216553,1194.859009
100,1238.963013,1193.468628
101,1236.741455,1192.105103
102,1234.551758,1190.768066
103,1232.393921,1189.457397
104,1230.268433,1188.17334
105,1228.176147,1186.915649
106,1226.116699,1185.684692
107,1224.09082,1184.479736
108,1222.097778,1183.300415
109,1220.137329,1182.145874
110,1218.209106,1181.014893
111,1216.31189,1179.90564
112,1214.445435,1178.817383
113,1212.608276,1177.748047
114,1210.799927,1176.695801
115,1209.019043,1175.659546
116,1207.264893,1174.637451
117,1205.536011,1173.627808
118,1203.831299,1172.628784
119,1202.14917,1171.639038
120,1200.488281,1170.656982
121,1198.846924,1169.680786
122,1197.223022,1168.709229
123,1195.615356,1167.741943
124,1194.022217,1166.778687
125,1192.443359,1165.821289
126,1190.879028,1164.872314
127,1189.331177,1163.936401
128,1187.80249,1163.018677
129,1186.296265,1162.124634
130,1184.814331,1161.257568
131,1183.358643,1160.4198
132,1181.928833,1159.611694
133,1180.52478,1158.831909
134,1179.145264,1158.07959
135,1177.789307,1157.352661
136,1176.455811,1156.64917
137,1175.143677,1155.967285
138,1173.851685,1155.305298
139,1172.578857,1154.662598
140,1171.324829,1154.037231
141,1170.088257,1153.428345
142,1168.868286,1152.835083
143,1167.664673,1152.256348
144,1166.47644,1151.691528
145,1165.302856,1151.140015
146,1164.143433,1150.600952
147,1162.997437,1150.074219
148,1161.864258,1149.55896
149,1160.743774,1149.055054
150,1159.635498,1148.562378
151,1158.539551,1148.080322
152,1157.455933,1147.609009
153,1156.384888,1147.148071
154,1155.327393,1146.697388
155,1154.283325,1146.256592
156,1153.25354,1145.825684
157,1152.237915,1145.404053
158,1151.236694,1144.991455
159,1150.249268,1144.587402
160,1149.275635,1144.191772
161,1148.315063,1143.803711
162,1147.366943,1143.423096
163,1146.430786,1143.049927
164,1145.505859,1142.683228
165,1144.591431,1142.323486
166,1143.68689,1141.969971
167,1142.79187,1141.622803
168,1141.905518,1141.281372
169,1141.027344,1140.945679
170,1140.157104,1140.615601
171,1139.294189,1140.290649
172,1138.438843,1139.970337
173,1137.59082,1139.654907
174,1136.750854,1139.343872
175,1135.918701,1139.036987
176,1135.094604,1138.734253
177,1134.279297,1138.434937
178,1133.473022,1138.139282
179,1132.676025,1137.847168
180,1131.888062,1137.558472
181,1131.109497,1137.272949
182,1130.340088,1136.990967
183,1129.579712,1136.71228
184,1128.828369,1136.437012
185,1128.085571,1136.165283
186,1127.351318,1135.896973
187,1126.625122,1135.632446
188,1125.907104,1135.371582
189,1125.196899,1135.11438
190,1124.494263,1134.861328
191,1123.798706,1134.611938
192,1123.110474,1134.366455
193,1122.428955,1134.124756
194,1121.754028,1133.887207
195,1121.085693,1133.653442
196,1120.423584,1133.423828
197,1119.767456,1133.197876
198,1119.117432,1132.976074
199,1118.473267,1132.758301
200,1117.834351,1132.544189
201,1117.201172,1132.334229
202,1116.573364,1132.128052
203,1115.950684,1131.925781
204,1115.333008,1131.727661
205,1114.720459,1131.533081
206,1114.112549,1131.342407
207,1113.509766,1131.155762
208,1112.911133,1130.972778
209,1112.317261,1130.793701
210,1111.728027,1130.618286
211,1111.142944,1130.446655
212,1110.56189,1130.278687
213,1109.984985,1130.11438
214,1109.412109,1129.953491
215,1108.843018,1129.796509
216,1108.277832,1129.642944
217,1107.716187,1129.492676
218,1107.158081,1129.346069
219,1106.603394,1129.202515
220,1106.052124,1129.0625
221,1105.503906,1128.925659
222,1104.959229,1128.792236
223,1104.417358,1128.661621
224,1103.878662,1128.534302
225,1103.342773,1128.409912
226,1102.809937,1128.28833
